chemin,paquet,paquet_LOC,paquet_CLOC,paquet_DC,WCP,paquet_BC
../TP1/Test_project/jfreechart-master/src/main/javadoc/org,org,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/main/javadoc/org/jfree,jfree,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/main/javadoc/org/jfree/chart,chart,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/main/javadoc/org/jfree/chart/renderer,renderer,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/main/javadoc/org/jfree/chart/renderer/xy,xy,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/main/javadoc/org/jfree/chart/renderer/xy/doc-files,doc-files,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/main/javadoc/org/jfree/chart/renderer/category,category,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/main/javadoc/org/jfree/chart/renderer/category/doc-files,doc-files,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/main/javadoc/org/jfree/chart/plot,plot,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/main/javadoc/org/jfree/chart/plot/doc-files,doc-files,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/main/resources,resources,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/main/resources/org,org,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/main/resources/org/jfree,jfree,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/main/resources/org/jfree/chart,chart,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/main/resources/org/jfree/chart/plot,plot,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/main/resources/org/jfree/chart/editor,editor,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/main/resources/org/jfree/chart/ui,ui,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src/test,test,0,0,0.0,2988,0.0
../TP1/Test_project/jfreechart-master/src/test/java,java,0,0,0.0,2988,0.0
../TP1/Test_project/jfreechart-master/src/test/java/org,org,0,0,0.0,2988,0.0
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree,jfree,0,0,0.0,2988,0.0
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart,chart,3840,1536,0.4,1761,2.2714367E-4
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/urls,urls,785,371,0.47261146,28,0.016878981
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/api,api,94,41,0.43617022,1,0.43617022
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/internal,internal,554,264,0.4765343,24,0.019855596
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/title,title,675,376,0.55703706,25,0.022281483
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/axis,axis,5111,1889,0.369595,220,0.0016799773
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels,labels,2505,1133,0.45229542,158,0.0028626292
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer,renderer,1666,573,0.34393758,507,6.7837787E-4
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/xy,xy,4855,1836,0.37816682,215,0.0017589155
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category,category,3773,1432,0.37953883,231,0.0016430252
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/annotations,annotations,2051,838,0.40858117,115,0.0035528797
