chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/xy/YInterval.java,YInterval.java,112,71,0.6339286,9,0.07043651
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/xy/XIntervalSeriesCollection.java,XIntervalSeriesCollection.java,360,220,0.6111111,26,0.023504274
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/xy/AbstractIntervalXYDataset.java,AbstractIntervalXYDataset.java,116,75,0.6465517,8,0.080818966
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/xy/AbstractXYDataset.java,AbstractXYDataset.java,90,62,0.6888889,5,0.13777778
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/xy/XYDataItem.java,XYDataItem.java,222,130,0.5855856,18,0.03253253
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/gantt/GanttCategoryDataset.java,GanttCategoryDataset.java,160,145,0.90625,0,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/gantt/TaskSeriesCollection.java,TaskSeriesCollection.java,633,319,0.50394946,63,0.007999198
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/gantt/TaskSeries.java,TaskSeries.java,184,105,0.5706522,16,0.03566576
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/gantt/SlidingGanttCategoryDataset.java,SlidingGanttCategoryDataset.java,617,335,0.54294974,60,0.009049162
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/gantt/Task.java,Task.java,229,131,0.5720524,20,0.02860262
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/gantt/XYTaskDataset.java,XYTaskDataset.java,445,242,0.5438202,42,0.0129481
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/BoxAndWhiskerItem.java,BoxAndWhiskerItem.java,263,138,0.5247148,23,0.022813689
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/BoxAndWhiskerCalculator.java,BoxAndWhiskerCalculator.java,199,89,0.44723618,19,0.023538746
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/BoxAndWhiskerXYDataset.java,BoxAndWhiskerXYDataset.java,165,148,0.8969697,0,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/HistogramDataset.java,HistogramDataset.java,465,253,0.54408604,41,0.013270391
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/StatisticalCategoryDataset.java,StatisticalCategoryDataset.java,80,71,0.8875,0,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/BoxAndWhiskerCategoryDataset.java,BoxAndWhiskerCategoryDataset.java,218,194,0.88990825,0,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/DefaultBoxAndWhiskerXYDataset.java,DefaultBoxAndWhiskerXYDataset.java,523,284,0.543021,48,0.011312938
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/Statistics.java,Statistics.java,420,186,0.44285715,46,0.009627329
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/DefaultStatisticalCategoryDataset.java,DefaultStatisticalCategoryDataset.java,684,321,0.46929824,64,0.007332785
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/HistogramType.java,HistogramType.java,52,46,0.88461536,0,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/SimpleHistogramBin.java,SimpleHistogramBin.java,259,129,0.4980695,31,0.016066758
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/HistogramBin.java,HistogramBin.java,156,94,0.6025641,12,0.050213676
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/SimpleHistogramDataset.java,SimpleHistogramDataset.java,452,264,0.5840708,41,0.014245629
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/MultiValueCategoryDataset.java,MultiValueCategoryDataset.java,66,58,0.8787879,0,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/MeanAndStandardDeviation.java,MeanAndStandardDeviation.java,164,99,0.60365856,13,0.046435274
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/Regression.java,Regression.java,330,107,0.3242424,36,0.009006734
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java,DefaultBoxAndWhiskerCategoryDataset.java,869,457,0.52589184,79,0.0066568586
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/statistics/DefaultMultiValueCategoryDataset.java,DefaultMultiValueCategoryDataset.java,380,184,0.48421052,38,0.0127423825
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/UnknownKeyException.java,UnknownKeyException.java,53,47,0.8867925,0,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/Values2D.java,Values2D.java,69,63,0.9130435,0,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/ComparableObjectSeries.java,ComparableObjectSeries.java,426,218,0.5117371,46,0.01112472
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/KeyedValueComparator.java,KeyedValueComparator.java,151,67,0.4437086,17,0.026100505
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/TimePeriod.java,TimePeriod.java,57,51,0.8947368,0,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/TimeSeriesDataItem.java,TimeSeriesDataItem.java,190,125,0.65789473,11,0.059808612
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/TimeSeriesCollection.java,TimeSeriesCollection.java,664,340,0.5120482,62,0.008258842
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/DateRange.java,DateRange.java,147,103,0.70068026,5,0.14013605
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/Week.java,Week.java,595,293,0.49243698,47,0.010477383
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/RegularTimePeriod.java,RegularTimePeriod.java,362,251,0.69337016,23,0.030146528
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/DynamicTimeSeriesCollection.java,DynamicTimeSeriesCollection.java,860,470,0.54651165,88,0.0062103597
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/TimePeriodFormatException.java,TimePeriodFormatException.java,49,43,0.877551,0,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/Year.java,Year.java,368,227,0.6168478,21,0.029373705
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/Minute.java,Minute.java,448,242,0.5401786,30,0.018005954
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/Day.java,Day.java,435,248,0.570115,25,0.0228046
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/TimeTableXYDataset.java,TimeTableXYDataset.java,561,331,0.5900178,47,0.01255357
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/data/time/TimeSeries.java,TimeSeries.java,1175,574,0.48851064,133,0.0036730124
